,country,indicator,date,year_week,value,source_x,url,country_code,level,region,region_name,new_cases_x,tests_done,population,testing_rate,positivity_rate,testing_data_source,source_y,new_cases_y,number_sequenced,percent_cases_sequenced,valid_denominator,variant,number_detections_variant,number_sequenced_known_variant,percent_variant
57079,Ireland,Daily ICU occupancy,2020-03-27,2020-W13,68.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,1689.0,14365.0,4964440.0,289.357913480675,11.7577445179255,TESSy,,,,,,,,,
57080,Ireland,Daily ICU occupancy,2020-03-28,2020-W13,80.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,1689.0,14365.0,4964440.0,289.357913480675,11.7577445179255,TESSy,,,,,,,,,
57081,Ireland,Daily ICU occupancy,2020-03-29,2020-W13,96.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,1689.0,14365.0,4964440.0,289.357913480675,11.7577445179255,TESSy,,,,,,,,,
57089,Ireland,Daily ICU occupancy,2020-03-30,2020-W14,107.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,2885.0,18566.0,4964440.0,373.979743938893,15.5391575999138,TESSy,,,,,,,,,
57090,Ireland,Daily ICU occupancy,2020-03-31,2020-W14,120.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,2885.0,18566.0,4964440.0,373.979743938893,15.5391575999138,TESSy,,,,,,,,,
57091,Ireland,Daily ICU occupancy,2020-04-01,2020-W14,128.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,2885.0,18566.0,4964440.0,373.979743938893,15.5391575999138,TESSy,,,,,,,,,
57092,Ireland,Daily ICU occupancy,2020-04-02,2020-W14,132.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,2885.0,18566.0,4964440.0,373.979743938893,15.5391575999138,TESSy,,,,,,,,,
57093,Ireland,Daily ICU occupancy,2020-04-03,2020-W14,137.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,2885.0,18566.0,4964440.0,373.979743938893,15.5391575999138,TESSy,,,,,,,,,
57094,Ireland,Daily ICU occupancy,2020-04-04,2020-W14,140.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,2885.0,18566.0,4964440.0,373.979743938893,15.5391575999138,TESSy,,,,,,,,,
57095,Ireland,Daily ICU occupancy,2020-04-05,2020-W14,139.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,2885.0,18566.0,4964440.0,373.979743938893,15.5391575999138,TESSy,,,,,,,,,
57103,Ireland,Daily ICU occupancy,2020-04-06,2020-W15,144.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,4727.0,39166.0,4964440.0,788.930876392906,12.0691416024103,TESSy,,,,,,,,,
57104,Ireland,Daily ICU occupancy,2020-04-07,2020-W15,143.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,4727.0,39166.0,4964440.0,788.930876392906,12.0691416024103,TESSy,,,,,,,,,
57105,Ireland,Daily ICU occupancy,2020-04-08,2020-W15,146.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,4727.0,39166.0,4964440.0,788.930876392906,12.0691416024103,TESSy,,,,,,,,,
57106,Ireland,Daily ICU occupancy,2020-04-09,2020-W15,151.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,4727.0,39166.0,4964440.0,788.930876392906,12.0691416024103,TESSy,,,,,,,,,
57107,Ireland,Daily ICU occupancy,2020-04-10,2020-W15,155.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,4727.0,39166.0,4964440.0,788.930876392906,12.0691416024103,TESSy,,,,,,,,,
57108,Ireland,Daily ICU occupancy,2020-04-11,2020-W15,155.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,4727.0,39166.0,4964440.0,788.930876392906,12.0691416024103,TESSy,,,,,,,,,
57109,Ireland,Daily ICU occupancy,2020-04-12,2020-W15,148.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,4727.0,39166.0,4964440.0,788.930876392906,12.0691416024103,TESSy,,,,,,,,,
57119,Ireland,Daily ICU occupancy,2020-04-13,2020-W16,143.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,4971.0,22236.0,4964440.0,447.90550394405,22.3556395035078,TESSy,,,,,,,,,
57120,Ireland,Daily ICU occupancy,2020-04-14,2020-W16,149.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,4971.0,22236.0,4964440.0,447.90550394405,22.3556395035078,TESSy,,,,,,,,,
57121,Ireland,Daily ICU occupancy,2020-04-15,2020-W16,140.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,4971.0,22236.0,4964440.0,447.90550394405,22.3556395035078,TESSy,,,,,,,,,
57122,Ireland,Daily ICU occupancy,2020-04-16,2020-W16,142.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,4971.0,22236.0,4964440.0,447.90550394405,22.3556395035078,TESSy,,,,,,,,,
57123,Ireland,Daily ICU occupancy,2020-04-17,2020-W16,137.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,4971.0,22236.0,4964440.0,447.90550394405,22.3556395035078,TESSy,,,,,,,,,
57124,Ireland,Daily ICU occupancy,2020-04-18,2020-W16,134.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,4971.0,22236.0,4964440.0,447.90550394405,22.3556395035078,TESSy,,,,,,,,,
57125,Ireland,Daily ICU occupancy,2020-04-19,2020-W16,133.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,4971.0,22236.0,4964440.0,447.90550394405,22.3556395035078,TESSy,,,,,,,,,
57135,Ireland,Daily ICU occupancy,2020-04-20,2020-W17,139.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,3900.0,37192.0,4964440.0,749.168083409206,10.4861260486126,TESSy,,,,,,,,,
57136,Ireland,Daily ICU occupancy,2020-04-21,2020-W17,133.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,3900.0,37192.0,4964440.0,749.168083409206,10.4861260486126,TESSy,,,,,,,,,
57137,Ireland,Daily ICU occupancy,2020-04-22,2020-W17,131.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,3900.0,37192.0,4964440.0,749.168083409206,10.4861260486126,TESSy,,,,,,,,,
57138,Ireland,Daily ICU occupancy,2020-04-23,2020-W17,123.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,3900.0,37192.0,4964440.0,749.168083409206,10.4861260486126,TESSy,,,,,,,,,
57139,Ireland,Daily ICU occupancy,2020-04-24,2020-W17,118.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,3900.0,37192.0,4964440.0,749.168083409206,10.4861260486126,TESSy,,,,,,,,,
57140,Ireland,Daily ICU occupancy,2020-04-25,2020-W17,123.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,3900.0,37192.0,4964440.0,749.168083409206,10.4861260486126,TESSy,,,,,,,,,
57141,Ireland,Daily ICU occupancy,2020-04-26,2020-W17,120.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,3900.0,37192.0,4964440.0,749.168083409206,10.4861260486126,TESSy,,,,,,,,,
57151,Ireland,Daily ICU occupancy,2020-04-27,2020-W18,117.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,2339.0,60626.0,4964440.0,1221.20521146393,3.85808069145251,TESSy,,,,,,,,,
57152,Ireland,Daily ICU occupancy,2020-04-28,2020-W18,113.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,2339.0,60626.0,4964440.0,1221.20521146393,3.85808069145251,TESSy,,,,,,,,,
57153,Ireland,Daily ICU occupancy,2020-04-29,2020-W18,103.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,2339.0,60626.0,4964440.0,1221.20521146393,3.85808069145251,TESSy,,,,,,,,,
57154,Ireland,Daily ICU occupancy,2020-04-30,2020-W18,106.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,2339.0,60626.0,4964440.0,1221.20521146393,3.85808069145251,TESSy,,,,,,,,,
57155,Ireland,Daily ICU occupancy,2020-05-01,2020-W18,99.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,2339.0,60626.0,4964440.0,1221.20521146393,3.85808069145251,TESSy,,,,,,,,,
57156,Ireland,Daily ICU occupancy,2020-05-02,2020-W18,99.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,2339.0,60626.0,4964440.0,1221.20521146393,3.85808069145251,TESSy,,,,,,,,,
57157,Ireland,Daily ICU occupancy,2020-05-03,2020-W18,93.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,2339.0,60626.0,4964440.0,1221.20521146393,3.85808069145251,TESSy,,,,,,,,,
57166,Ireland,Daily ICU occupancy,2020-05-04,2020-W19,91.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,1453.0,45780.0,4964440.0,922.158390473044,3.173875054609,TESSy,,,,,,,,,
57167,Ireland,Daily ICU occupancy,2020-05-05,2020-W19,90.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,1453.0,45780.0,4964440.0,922.158390473044,3.173875054609,TESSy,,,,,,,,,
57168,Ireland,Daily ICU occupancy,2020-05-06,2020-W19,82.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,1453.0,45780.0,4964440.0,922.158390473044,3.173875054609,TESSy,,,,,,,,,
57169,Ireland,Daily ICU occupancy,2020-05-07,2020-W19,76.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,1453.0,45780.0,4964440.0,922.158390473044,3.173875054609,TESSy,,,,,,,,,
57170,Ireland,Daily ICU occupancy,2020-05-08,2020-W19,72.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,1453.0,45780.0,4964440.0,922.158390473044,3.173875054609,TESSy,,,,,,,,,
57171,Ireland,Daily ICU occupancy,2020-05-09,2020-W19,72.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,1453.0,45780.0,4964440.0,922.158390473044,3.173875054609,TESSy,,,,,,,,,
57172,Ireland,Daily ICU occupancy,2020-05-10,2020-W19,72.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,1453.0,45780.0,4964440.0,922.158390473044,3.173875054609,TESSy,,,,,,,,,
57181,Ireland,Daily ICU occupancy,2020-05-11,2020-W20,69.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,1124.0,39476.0,4964440.0,795.175286638574,2.84729962508866,TESSy,,,,,,,,,
57182,Ireland,Daily ICU occupancy,2020-05-12,2020-W20,67.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,1124.0,39476.0,4964440.0,795.175286638574,2.84729962508866,TESSy,,,,,,,,,
